Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0603_1608Metric,127.749,-69.85,180.0,bottom
C2,100nF,C_0603_1608Metric,127.762,-76.962,180.0,bottom
C3,100nF,C_0603_1608Metric,129.032,-67.31,90.0,bottom
R1,470,R_0603_1608Metric,134.874,-79.502,90.0,bottom
R2,470,R_0603_1608Metric,134.874,-74.93,270.0,bottom
R3,470,R_0603_1608Metric,134.874,-71.628,90.0,bottom
R4,1K,R_0603_1608Metric,134.112,-65.786,0.0,bottom
R5,1M,R_0603_1608Metric,134.874,-68.326,90.0,bottom
U1,74HCT74,TSSOP-14_4.4x5mm_P0.65mm,129.806,-80.506,0.0,bottom
U2,74HCT02,TSSOP-14_4.4x5mm_P0.65mm,129.806,-73.406,0.0,bottom
U3,74HCT2G04,TSOP-6_1.65x3.05mm_P0.95mm,131.826,-68.58,0.0,bottom
U4,TMS9918A,DIP-40_W15.24mm_Socket,132.08,-90.17,0.0,top
U5,TMS9928A,DIP-40_W15.24mm_Socket,129.54,-90.17,0.0,top
